Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Debarati Basu, Sarah Heckman, Mary Lou Maher","Online Vs Face-to-face Web-development Course: Course Strategies, Learning, and
                Engagement.",SIGCSE,2021: 1191-1197,https://doi.org/10.1145/3408877.3432438,inproceedings
"Ruth Okoilu Akintunde, Ally Limke, Tiffany Barnes, Sarah Heckman, Collin F. Lynch",PEDI - Piazza Explorer Dashboard for Intervention.,VL/HCC,2021: 1-4,https://doi.org/10.1109/VL/HCC51201.2021.9576443,inproceedings
"Kai Presler-Marshall, Sarah Heckman, Kathryn T. Stolee",SQLRepair: Identifying and Repairing Mistakes in Student-Authored SQL Queries.,CoRR,abs/2102.05729(2021): ,https://arxiv.org/abs/2102.05729,article
"Sarah Heckman, Jeffrey C. Carver, Mark Sherriff, Ahmed Al-Zubidy","A Systematic Literature Review of Empiricism and Norms of Reporting in Computing
                Education Research Literature.",CoRR,abs/2107.01984(2021): ,https://arxiv.org/abs/2107.01984,article
"Jeffrey C. Carver, Sarah Heckman, Mark Sherriff",Training Computing Educators to Become Computing Education Researchers.,CoRR,abs/2110.05560(2021): ,https://arxiv.org/abs/2110.05560,article
"Niki Gitinabard, Sarah Heckman, Tiffany Barnes, Collin F. Lynch",Designing a Dashboard for Student Teamwork Analysis.,CoRR,abs/2112.04465(2021): ,https://arxiv.org/abs/2112.04465,article
"Niki Gitinabard, Ruth Okoilu, Yiqiao Xu, Sarah Heckman, Tiffany Barnes, Collin F. Lynch",Student Teamwork on Programming Projects. What can GitHub logs show us?,EDM,2020: ,"
                https://educationaldatamining.org/files/conferences/EDM2020/papers/paper_153.pdf",inproceedings
"Sarah Heckman, Jessica Young Schmidt, Jason King",Integrating Testing Throughout the CS Curriculum.,ICST Workshops,2020: 441-444,https://doi.org/10.1109/ICSTW50294.2020.00079,inproceedings
"Niki Gitinabard, Ruth Okoilu, Yiqiao Xu, Sarah Heckman, Tiffany Barnes, Collin F. Lynch",Student Teamwork on Programming Projects: What can GitHub logs show us?,CoRR,abs/2008.11262(2020): ,https://arxiv.org/abs/2008.11262,article
"Elizabeth K. Hawthorne, Manuel A. Pérez-Quiñones, Sarah Heckman, Jian Zhang 0036",SIGCSE technical symposium 2019 report.,ACM SIGCSE Bull.,51(2019): 2-4,https://doi.org/10.1145/3329103.3329104,article
"Jian Zhang 0036, Mark Sherriff, Sarah Heckman, Pamela A. Cutter, Alvaro E. Monge",SIGCSE technical symposium 2020 call for submissions.,ACM SIGCSE Bull.,51(2019): 2-3,https://doi.org/10.1145/3355504.3355505,article
"Niki Gitinabard, Yiqiao Xu, Sarah Heckman, Tiffany Barnes, Collin F. Lynch","How Widely Can Prediction Models Be Generalized? Performance Prediction in
                Blended Courses.",IEEE Trans. Learn. Technol.,12(2019): 184-197,https://doi.org/10.1109/TLT.2019.2911832,article
"Niki Gitinabard, Tiffany Barnes, Sarah Heckman, Collin F. Lynch","What will you do next? A sequence analysis on the student transitions between
                online platforms in blended courses.",EDM,2019: ,https://drive.google.com/file/d/1dzAi40wvfQox-rzLFJ_2SSAwXJsUO2UQ,inproceedings
"Kai Presler-Marshall, Eric Horton, Sarah Heckman, Kathryn T. Stolee","Wait wait. No, tell me: analyzing selenium configuration effects on test
                flakiness.",AST@ICSE,2019: 7-13,https://doi.org/10.1109/AST.2019.000-1,inproceedings
"Niki Gitinabard, Yiqiao Xu, Sarah Heckman, Tiffany Barnes, Collin F. Lynch","How Widely Can Prediction Models be Generalized? An Analysis of Performance
                Prediction in Blended Courses.",CoRR,abs/1904.07328(2019): ,http://arxiv.org/abs/1904.07328,article
"Adithya Sheshadri, Niki Gitinabard, Collin F. Lynch, Tiffany Barnes, Sarah Heckman","Predicting Student Performance Based on Online Study Habits: A Study of Blended
                Courses.",CoRR,abs/1904.07331(2019): ,http://arxiv.org/abs/1904.07331,article
"Niki Gitinabard, Sarah Heckman, Tiffany Barnes, Collin F. Lynch","What will you do next? A sequence analysis on the student transitions between
                online platforms in blended courses.",CoRR,abs/1905.00928(2019): ,http://arxiv.org/abs/1905.00928,article
"Mark Sherriff, Sarah Heckman",Capstones and Large Projects in Computing Education.,ACM Trans. Comput. Educ.,18(2018): 6:1-6:4,https://doi.org/10.1145/3229882,article
"Sarah Heckman, Jian Zhang 0036, Manuel A. Pérez-Quiñones, Elizabeth K. Hawthorne",SIGCSE 2019 paper length change.,ACM SIGCSE Bull.,50(2018): 4,https://doi.org/10.1145/3212402.3212404,article
"Sarah Heckman, Jian Zhang 0036, Manuel A. Pérez-Quiñones, Elizabeth K. Hawthorne",What is a SIGCSE symposium paper?,ACM SIGCSE Bull.,50(2018): 3,https://doi.org/10.1145/3243071.3243073,article
"Adithya Sheshadri, Niki Gitinabard, Collin F. Lynch, Tiffany Barnes, Sarah Heckman","Predicting Student Performance Based on Online Study Habits: A Study of Blended
                Courses.",EDM,2018: ,"
                http://educationaldatamining.org/files/conferences/EDM2018/papers/EDM2018_paper_147.pdf",inproceedings
"Sarah Heckman, Kathryn T. Stolee, Christopher Parnin","10+ years of teaching software engineering with itrust: the good, the bad, and
                the ugly.",ICSE (SEET),2018: 1-4,https://doi.org/10.1145/3183377.3183393,inproceedings
"Sarah Heckman, Jason King",Developing Software Engineering Skills using Real Tools for Automated Grading.,SIGCSE,2018: 794-799,https://doi.org/10.1145/3159450.3159595,inproceedings
"Jeffrey C. Carver, Sarah Heckman, Mark Sherriff","Designing Empirical Education Research Studies (DEERS): Creating an Answerable
                Research Question (Abstract Only).",SIGCSE,2018: 1051,https://doi.org/10.1145/3159450.3162350,inproceedings
"Niki Gitinabard, Collin F. Lynch, Sarah Heckman, Tiffany Barnes",Identifying student communities in blended courses.,EDM,2017: ,http://educationaldatamining.org/EDM2017/proc_files/papers/paper_105.pdf,inproceedings
"Aaron J. Smith, Kristy Elizabeth Boyer, Jeffrey Forbes 0001, Sarah Heckman, Ketan Mayer-Patel","My Digital Hand: A Tool for Scaling Up One-to-One Peer Teaching in Support of
                Computer Science Learning.",SIGCSE,2017: 549-554,https://doi.org/10.1145/3017680.3017800,inproceedings
"Mickey Vellukunnel, Philip Sheridan Buffum, Kristy Elizabeth Boyer, Jeffrey Forbes 0001, Sarah Heckman, Ketan Mayer-Patel","Deconstructing the Discussion Forum: Student Questions and Computer Science
                Learning.",SIGCSE,2017: 603-608,https://doi.org/10.1145/3017680.3017745,inproceedings
"Sarah Heckman, Jeffrey C. Carver, Mark Sherriff","Designing Empirical Education Research Studies (DEERS): Creating an Answerable
                Research Question (Abstract Only).",SIGCSE,2017: 737,https://doi.org/10.1145/3017680.3017836,inproceedings
"Niki Gitinabard, Linting Xue, Collin F. Lynch, Sarah Heckman, Tiffany Barnes",A Social Network Analysis on Blended Courses.,CoRR,abs/1709.10215(2017): ,http://arxiv.org/abs/1709.10215,article
"Niki Gitinabard, Collin F. Lynch, Sarah Heckman, Tiffany Barnes",Identifying Student Communities in Blended Courses.,CoRR,abs/1710.04129(2017): ,http://arxiv.org/abs/1710.04129,article
"Ahmed Al-Zubidy, Jeffrey C. Carver, Sarah Heckman, Mark Sherriff",A (Updated) Review of Empiricism at the SIGCSE Technical Symposium.,SIGCSE,2016: 120-125,https://doi.org/10.1145/2839509.2844601,inproceedings
"Sarah Heckman, Jason King","Teaching Software Engineering Skills in CS1.5: Incorporating Real-world Practices
                and Tools (Abstract Only).",SIGCSE,2016: 696-697,https://doi.org/10.1145/2839509.2850562,inproceedings
"Brittany Johnson, Rahul Pandita, Justin Smith 0001, Denae Ford, Sarah Elder, Emerson R. Murphy-Hill, Sarah Heckman, Caitlin Sadowski",A cross-tool communication study on program analysis tool notifications.,SIGSOFT FSE,2016: 73-84,https://doi.org/10.1145/2950290.2950304,inproceedings
Sarah Smith Heckman,"An Empirical Study of In-Class Laboratories on Student Learning of Linear Data
                Structures.",ICER,2015: 217-225,https://doi.org/10.1145/2787622.2787713,inproceedings
"Paul V. Anderson, Sarah Heckman, Mladen A. Vouk, David Wright 0004, Michael Carter, Janet E. Burge, Gerald C. Gannod","CS/SE Instructors Can Improve Student Writing without Reducing Class Time Devoted
                to Technical Content: Experimental Results.",ICSE (2),2015: 455-464,https://doi.org/10.1109/ICSE.2015.178,inproceedings
"Sarah Heckman, Jason King, Michael Winters","Automating Software Engineering Best Practices Using an Open Source Continuous
                Integration Framework (Abstract Only).",SIGCSE,2015: 677,https://doi.org/10.1145/2676723.2691921,inproceedings
"Mark Sherriff, Sarah Heckman",Empirical Research in CS Education (Abstract Only).,SIGCSE,2015: 701,https://doi.org/10.1145/2676723.2691853,inproceedings
"Brittany Johnson, Rahul Pandita, Emerson R. Murphy-Hill, Sarah Heckman",Bespoke tools: adapted to the concepts developers know.,ESEC/SIGSOFT FSE,2015: 878-881,https://doi.org/10.1145/2786805.2803197,inproceedings
"Sarah Smith Heckman, Laurie A. Williams","A comparative evaluation of static analysis actionable alert identification
                techniques.",PROMISE,2013: 4:1-4:10,https://doi.org/10.1145/2499393.2499399,inproceedings
"Sarah Smith Heckman, Laurie A. Williams","A systematic literature review of actionable alert identification techniques for
                automated static code analysis.",Inf. Softw. Technol.,53(2011): 363-387,https://doi.org/10.1016/j.infsof.2010.12.007,article
"Sarah Smith Heckman, Thomas B. Horton, Mark Sherriff",Teaching second-level Java and software engineering with Android.,CSEE&T,2011: 540-542,https://doi.org/10.1109/CSEET.2011.5876144,inproceedings
"Sarah Smith Heckman, Laurie A. Williams",A Model Building Process for Identifying Actionable Static Analysis Alerts.,ICST,2009: 161-170,https://doi.org/10.1109/ICST.2009.45,inproceedings
"Sarah Smith Heckman, Laurie A. Williams","On establishing a benchmark for evaluating static analysis alert prioritization
                and classification techniques.",ESEM,2008: 41-50,https://doi.org/10.1145/1414004.1414013,inproceedings
Sarah Smith Heckman,Adaptively ranking alerts generated from automated static analysis.,ACM Crossroads,14(2007): ,https://doi.org/10.1145/1349332.1349339,article
"Mark Sherriff, Sarah Smith Heckman, Mike Lake, Laurie A. Williams","Identifying fault-prone files using static analysis alerts through singular value
                decomposition.",CASCON,2007: 276-279,https://doi.org/10.1145/1321211.1321247,inproceedings
Sarah Smith Heckman,Adaptive Probabilistic Model for Ranking Code-Based Static Analysis Alerts.,ICSE Companion,2007: 89-90,https://doi.org/10.1109/ICSECOMPANION.2007.16,inproceedings
"Mark Sherriff, Sarah Smith Heckman, J. Michael Lake, Laurie A. Williams","Using groupings of static analysis alerts to identify files likely to contain
                field failures.",ESEC/SIGSOFT FSE,2007: 565-568,https://doi.org/10.1145/1287624.1287711,inproceedings
